Address,Lat,Lon,Status,Status_Update_Time,Score
"Albert Heijn, Praamplein 4A, 1431 CV Aalsmeer, Netherlands",52.2682473,4.7464845,1,2024-04-29 14:30:00,1
"Albert Heijn, De Hoven 25, 7122 BJ Aalten, Netherlands",51.9271798,6.5794883,1,2024-04-29 14:30:00,1
"Albert Heijn, Raadhuisweg 3, 1921 AA Castricum, Netherlands",52.5608401,4.7302568,1,2024-04-29 14:30:00,1
"Albert Heijn, Makado-Center 41, 2951 EH Alblasserdam, Netherlands",51.8638572,4.6575937,1,2024-04-29 14:30:00,1
"Kwakelkade, 1823 CK Alkmaar, Netherlands",52.6338626,4.7521844,1,2024-04-29 14:30:00,1
"Albert Heijn, Botplein 15, 1317 SK Almere, Netherlands",52.3890952,5.2317157,1,2024-04-29 14:30:00,1
"Juan Grisstraat 44, 1328 KA Almere, Netherlands",52.3719458,5.2658209,1,2024-04-29 14:30:00,1
"Albert Heijn, Lavendelplantsoen 60, 1313 GA Almere, Netherlands",52.3822688,5.1987431,1,2024-04-29 14:30:00,1
"Albert Heijn, Margaret Cavendishweg 95, 1349 BN Almere, Netherlands",52.3472859,5.3329662,1,2024-04-29 14:30:00,1
"Albert Heijn, Markenlaan 3, 1355 BA Almere, Netherlands",52.3417762,5.2261934,1,2024-04-29 14:30:00,1
"Watercipresstraat 15, 1326 CM Almere, Netherlands",52.3757691,5.2436112,1,2024-04-29 14:30:00,1
"Albert Heijn, De Aarhof 61, 2406 BT Alphen aan den Rijn, Netherlands",52.1296104,4.6655263,1,2024-04-29 14:30:00,1
"Albert Heijn, Ridderhof 2, 2402 EN Alphen aan den Rijn, Netherlands",52.1448897,4.6742198,1,2024-04-29 14:30:00,1
"Albert Heijn, Euterpeplein 43, 3816 NR Amersfoort, Netherlands",52.1515763,5.4056544,1,2024-04-29 14:30:00,1
"Hoofdstraat 45, 6436 CB Amstenrade, Netherlands",50.9414132,5.9235982,1,2024-04-29 14:30:00,1
"Gelderlandplein, Albert Heijn XL, Gelderlandplein 47, 1082 KZ Amsterdam, Netherlands",52.3310249,4.8785321,1,2024-04-29 14:30:00,1
"Gulden Winckelplantsoen 5, 1055 EK Amsterdam, Netherlands",52.3786063,4.8468234,1,2024-04-29 14:30:00,1
"Albert Heijn, Jan van Galenstraat 87, 1056 BJ Amsterdam, Netherlands",52.3747276,4.8607837,1,2024-04-29 14:30:00,1
"Albert Heijn, Johan Cruijff Boulevard 177, 1101 EJ Amsterdam, Netherlands",52.3130615,4.9457851,1,2024-04-29 14:30:00,1
"Koningsplein 6, 1017 BB Amsterdam, Netherlands",52.3671752,4.8890496,1,2024-04-29 14:30:00,1
"Albert Heijn, Leidseplein 31, 1017 PS Amsterdam, Netherlands",52.3633839,4.8820679,1,2024-04-29 14:30:00,1
"Albert Heijn, Molenwijk 35, 1035 EG Amsterdam, Netherlands",52.4170661,4.8931066,1,2024-04-29 14:30:00,1
"Albert Heijn, New Market 18, 1012 CR Amsterdam, Netherlands",52.3726884,4.8997302,1,2024-04-29 14:30:00,1
"Nieuwpoortstraat, 1055 RZ Amsterdam, Netherlands",52.384099,4.8585887,1,2024-04-29 14:30:00,1
"Osdorpplein, Albert Heijn XL, Osdorpplein 469, 1068 SZ Amsterdam, Netherlands",52.3591985,4.8028753,1,2024-04-29 14:30:00,1
Parnassusweg 701 739 1077DG Amsterdam,52.37403,4.88969,1,2024-04-29 14:30:00,1
"Albert Heijn, Pieter Calandlaan 212-A, 1069 LA Amsterdam, Netherlands",52.3521575,4.7994975,1,2024-04-29 14:30:00,1
"Rietwijkerstraat 22-H, 1059 XA Amsterdam, Netherlands",52.3492845,4.8498366,1,2024-04-29 14:30:00,1
"Sarphatistraat 141K, 1018 GD Amsterdam, Netherlands",52.36226,4.9123807,1,2024-04-29 14:30:00,1
"Albert Heijn, Stadhouderskade 101, 1073 AW Amsterdam, Netherlands",52.3573336,4.8971131,1,2024-04-29 14:30:00,1
"Albert Heijn, Utrechtsestraat 17, 1017 VH Amsterdam, Netherlands",52.365416,4.8978876,1,2024-04-29 14:30:00,1
"Albert Heijn, Van Limburg Stirumstraat 44, 1051 BC Amsterdam, Netherlands",52.3836237,4.8760256,1,2024-04-29 14:30:00,1
"Waterlandplein 255, 1024 LT Amsterdam, Netherlands",52.3928007,4.9554084,1,2024-04-29 14:30:00,1
"Westermarkt 21, 1016 DJ Amsterdam, Netherlands",52.3738806,4.8839455,1,2024-04-29 14:30:00,1
"Willem Kraanstraat 2, 1063 MG Amsterdam, Netherlands",52.3798557,4.823691,1,2024-04-29 14:30:00,1
"Karspeldreef 1389, 1104 SE Amsterdam, Netherlands",52.3163248,4.9787603,1,2024-04-29 14:30:00,1
"Molensluis, Albert Heijn, Doorlaat 1, 1761 AW Anna Paulowna, Netherlands",52.8617921,4.8325357,1,2024-04-29 14:30:00,1
"De Eglantier, Albert Heijn, De Eglantier 234, 7329 DH Apeldoorn, Netherlands",52.1958123,6.0060026,1,2024-04-29 14:30:00,1
"t Fort, Albert Heijn, Linie 189, 7325 DR Apeldoorn, Netherlands",52.217188,6.0030544,1,2024-04-29 14:30:00,1
"Etos, Overdiep 1, 9902 DB Appingedam, Netherlands",53.3184139,6.8590418,1,2024-04-29 14:30:00,1
"Albert Heijn, Vossenstraat 1, 6811 JL Arnhem, Netherlands",51.9803116,5.9053293,1,2024-04-29 14:30:00,1
"Triade 14, 9401 ZH Assen, Netherlands",52.9976539,6.5604769,1,2024-04-29 14:30:00,1
"Albert Heijn, Dorpsstraat 537A, 1566 BL Assendelft, Netherlands",52.4741639,4.747662,1,2024-04-29 14:30:00,1
"Szydlowskiplein, 4571 EW Axel, Netherlands",51.2664654,3.9085786,1,2024-04-29 14:30:00,1
"Burgemeester Kuntzelaan 35, 3771 EP Barneveld, Netherlands",52.1376505,5.5902534,1,2024-04-29 14:30:00,1
"Albert Heijn Jan Linders, Heuvelplein 11, 5741 JH Beek en Donk, Netherlands",51.528775,5.6344756,1,2024-04-29 14:30:00,1
"Albert Heijn, Weversstraat 3, 9411 NC Beilen, Netherlands",52.8605916,6.5161438,1,2024-04-29 14:30:00,1
"Bennekom Centrum, Albert Heijn, Dorpsstraat 36, 6721 JL Bennekom, Netherlands",51.9983644,5.675278,1,2024-04-29 14:30:00,1
"Albert Heijn Jan Linders, Raadhuisstraat 7, 5854 AX Nieuw Bergen, Netherlands",51.603055,6.0501055,1,2024-04-29 14:30:00,1
"Albert Heijn, Breelaan 14, 1861 GE Bergen, Netherlands",52.6712225,4.7008787,1,2024-04-29 14:30:00,1
"Albert Heijn, Hoofdstraat 35, 9531 AB Borger, Netherlands",52.9233491,6.7918251,1,2024-04-29 14:30:00,1
"Albert Heijn, De Middend 250-252, 1611 KN Bovenkarspel, Netherlands",52.6979897,5.2342265,1,2024-04-29 14:30:00,1
"Etos, Prins Hendrikstraat 62, 5281 CN Boxtel, Netherlands",51.5860618,5.3221188,1,2024-04-29 14:30:00,1
"Anna van Burenstraat 24, 4811 BS Breda, Netherlands",51.5963567,4.7815987,1,2024-04-29 14:30:00,1
"Albert Heijn, Ginnekenweg 46, 4818 JG Breda, Netherlands",51.5773949,4.7802626,1,2024-04-29 14:30:00,1
"Albert Heijn, Haagdijk 108, 4811 TW Breda, Netherlands",51.5874392,4.768745,1,2024-04-29 14:30:00,1
"Albert Heijn, Heksenwaag 2, 4823 JV Breda, Netherlands",51.6232677,4.7433727,1,2024-04-29 14:30:00,1
"Albert Heijn, Pastoor van Spaandonkstraat 48, 4813 BS Breda, Netherlands",51.5783411,4.7394509,1,2024-04-29 14:30:00,1
"Albert Heijn Jan Linders, Kerkstraat 40, 6441 BE Brunssum, Netherlands",50.9452717,5.971874,1,2024-04-29 14:30:00,1
"Albert Heijn, Doctor Ant. Mathijsenstraat 20, 6021 CL Budel, Netherlands",51.2750187,5.5772027,1,2024-04-29 14:30:00,1
"Albert Heijn, Van Hardenbroeklaan 3, 3981 EN Bunnik, Netherlands",52.0673635,5.1997417,1,2024-04-29 14:30:00,1
"Albert Heijn, Burghseweg 73, 4328 LA Burgh-Haamstede, Netherlands",51.6921755,3.7359112,1,2024-04-29 14:30:00,1
"Centrumpassage 27, 2903 HA Capelle aan den IJssel, Netherlands",51.9319126,4.589246,1,2024-04-29 14:30:00,1
"Albert Heijn, Geesterduin 27, 1902 EJ Castricum, Netherlands",52.5508491,4.6744953,1,2024-04-29 14:30:00,1
"Albert Heijn Jan Linders, Grotestraat 99, 5431 DJ Cuijk, Netherlands",51.7219191,5.8884235,1,2024-04-29 14:30:00,1
"Gall & Gall, Smidstraat 70, 5431 BJ Cuijk, Netherlands",51.7296085,5.8735135,1,2024-04-29 14:30:00,1
"Albert Heijn, Markt 69, 7701 GW Dedemsvaart, Netherlands",52.6014823,6.4563311,1,2024-04-29 14:30:00,1
"Albert Heijn, Bastiaanpoort 7, 2611 MC Delft, Netherlands",52.0093532,4.3644714,1,2024-04-29 14:30:00,1
"Albert Heijn, Choorstraat 35, 2611 JE Delft, Netherlands",52.0130927,4.3582842,1,2024-04-29 14:30:00,1
"In de Hoven, Albert Heijn XL, Martinus Nijhofflaan 7, 2624 ER Delft, Netherlands",51.9963702,4.3530504,1,2024-04-29 14:30:00,1
"Geldmaat, Willemstraat 26, 9934 BC Delfzijl, Netherlands",53.3327049,6.9286818,1,2024-04-29 14:30:00,1
"Albert Heijn, Paduaweg 3, 3734 GG Zeist, Netherlands",52.139261,5.2406839,1,2024-04-29 14:30:00,1
"Albert Heijn Jan Linders, Helmondseweg 65a, 5751 GB Deurne, Netherlands",51.462208,5.784692,1,2024-04-29 14:30:00,1
"Albert Heijn, Wolfsberg 20, 5751 GX Deurne, Netherlands",51.4622843,5.7968554,1,2024-04-29 14:30:00,1
"Albert Heijn, Leliestraat 47, 6942 XL Loil, Netherlands",51.9416728,6.1357767,1,2024-04-29 14:30:00,1
"Albert Heijn, Houtsmastraat 150, 7002 KK Doetinchem, Netherlands",51.9734512,6.3157941,1,2024-04-29 14:30:00,1
"Rozengaardseweg 18A, 7001 DP Doetinchem, Netherlands",51.9675428,6.2958871,1,2024-04-29 14:30:00,1
"Albert Heijn, Zaagmolenpad 16, 7008 AJ Doetinchem, Netherlands",51.9703478,6.2725974,1,2024-04-29 14:30:00,1
"Albert Heijn, Looiershof 1, 5104 HV Dongen, Netherlands",51.6252923,4.942502,1,2024-04-29 14:30:00,1
"Albert Heijn, Dorpsstraat 25, 3941 JK Doorn, Netherlands",52.0346173,5.3442849,1,2024-04-29 14:30:00,1
"Achterom 42, 3311 KC Dordrecht, Netherlands",51.8124378,4.6668522,1,2024-04-29 14:30:00,1
"Promenade en Kaden, Albert Heijn, De Marke 33, 9203 DV Drachten, Netherlands",53.1054398,6.1006193,1,2024-04-29 14:30:00,1
"Albert Heijn, Middelwyk 31, 9202 GN Drachten, Netherlands",53.1097163,6.1114557,1,2024-04-29 14:30:00,1
"Polenplein 24a, 6665 CN Driel, Netherlands",51.9609487,5.8133709,1,2024-04-29 14:30:00,1
"Albert Heijn Jan Linders, Grotestraat 164B, 5151 BP Drunen, Netherlands",51.6872283,5.1357443,1,2024-04-29 14:30:00,1
"Albert Heijn, Mexicoplein 1, 5152 LC Drunen, Netherlands",51.6824071,5.1298235,1,2024-04-29 14:30:00,1
